日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2012/6/12,自營商,189094,22212,204518,25016,-15424,-2804,438959,15212,454946,23295,-15987,-8083
2012/6/12,投信,541,671,207,254,334,417,1521,1882,4345,2366,-2824,-484
2012/6/12,外資及陸資,58549,33583,55932,30420,2617,3163,386354,54329,433087,40420,-46733,13909
2012/6/13,自營商,210842,25015,203983,22376,6859,2639,434858,17133,443878,22645,-9020,-5512
2012/6/13,投信,88,117,20,28,68,89,1534,1902,4290,2297,-2756,-395
2012/6/13,外資及陸資,71119,31075,72254,31963,-1135,-888,391036,57452,438970,44350,-47934,13102
2012/6/14,自營商,264421,26720,270874,27330,-6453,-610,446460,18976,461525,25148,-15065,-6172
2012/6/14,投信,148,197,252,141,-104,56,1652,2059,4514,2402,-2862,-343
2012/6/14,外資及陸資,97229,34312,93117,33869,4112,443,404267,57389,448665,43775,-44398,13614
2012/6/15,自營商,342014,34060,320768,30585,21246,3475,488629,23110,483072,25979,5557,-2869
2012/6/15,投信,391,444,127,179,264,265,1689,2131,4287,2206,-2598,-75
2012/6/15,外資及陸資,88272,42745,93346,40093,-5074,2652,407944,61574,458745,44978,-50801,16596
2012/6/18,自營商,375450,32694,347101,32723,28349,-29,485250,24329,450915,27424,34335,-3096
2012/6/18,投信,798,1127,861,606,-63,521,1752,2249,4413,1802,-2661,448
2012/6/18,外資及陸資,96098,46649,96369,51640,-271,-4991,408294,62021,459129,49954,-50835,12067
2012/6/19,自營商,236627,25893,264776,22967,-28149,2926,437508,21400,430815,21555,6693,-155
2012/6/19,投信,1244,1646,1711,1535,-467,111,1795,2267,4923,1709,-3128,558
2012/6/19,外資及陸資,92862,63534,89587,65944,3275,-2410,412248,54760,459607,45127,-47359,9632
2012/6/20,自營商,251840,29601,229957,26068,21883,3533,84677,6257,119983,9495,-35306,-3238
2012/6/20,投信,629,791,1368,1055,-739,-264,1708,2209,2572,1368,-864,841
2012/6/20,外資及陸資,69282,39130,75356,40950,-6074,-1820,155108,36159,173676,25617,-18568,10542
2012/6/21,自營商,125067,23152,141838,22729,-16771,423,88979,6977,140642,9751,-51663,-2773
2012/6/21,投信,15,17,68,60,-53,-43,1684,2155,2601,1363,-917,792
2012/6/21,外資及陸資,47714,25440,59595,27831,-11881,-2391,162931,37118,192360,29043,-29429,8075
2012/6/22,自營商,110817,20158,124607,15925,-13790,4233,97544,11065,162169,9565,-64625,1500
2012/6/22,投信,20,15,168,234,-148,-219,1650,2075,2715,1513,-1065,562
2012/6/22,外資及陸資,44267,30725,67461,42211,-23194,-11486,169809,43214,221162,46801,-51353,-3587
2012/6/25,自營商,104499,17656,109985,13560,-5486,4096,103204,14903,173291,9326,-70087,5577
2012/6/25,投信,143,194,50,68,93,126,1703,2118,2675,1440,-972,679
2012/6/25,外資及陸資,45050,34832,62548,43764,-17498,-8932,177238,50407,245171,62954,-67933,-12547
2012/6/26,自營商,76618,11706,83791,11992,-7173,-286,105959,14935,182211,9647,-76252,5288
2012/6/26,投信,135,185,250,347,-115,-162,1785,2227,2872,1711,-1087,516
2012/6/26,外資及陸資,34300,25637,32550,21052,1750,4585,180919,51112,247114,59057,-66195,-7945
2012/6/27,自營商,135399,26880,135858,25943,-459,937,119770,16726,196520,10457,-76750,6269
2012/6/27,投信,238,133,34,47,204,86,1820,2286,2703,1679,-883,607
2012/6/27,外資及陸資,54000,30733,42864,27644,11136,3089,187517,55172,243503,60065,-55986,-4892
2012/6/28,自營商,124834,23649,125681,23564,-847,85,129118,17258,206949,10889,-77831,6368
2012/6/28,投信,262,85,53,66,209,19,1845,2325,2519,1697,-674,627
2012/6/28,外資及陸資,52593,33889,49259,31576,3334,2313,194417,58646,246685,61212,-52268,-2566
2012/6/29,自營商,235797,33211,229725,35340,6072,-2129,147817,17368,220635,13037,-72818,4331
2012/6/29,投信,822,408,177,242,645,166,1920,2472,1949,1665,-29,807
2012/6/29,外資及陸資,74299,45326,63173,39678,11126,5648,200904,60969,243780,57791,-42876,3178
2012/7/2,自營商,138874,16954,141364,14158,-2490,2796,151303,19648,226956,12505,-75653,7143
2012/7/2,投信,920,268,150,209,770,59,2018,2598,1277,1728,741,870
2012/7/2,外資及陸資,35244,21240,42756,22243,-7512,-1003,196935,62148,247352,59988,-50417,2160
2012/7/3,自營商,253367,31396,229131,36040,24236,-4644,162425,17545,214559,14944,-52134,2601
2012/7/3,投信,739,1048,112,111,627,937,2724,3631,1356,1814,1368,1817
